#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
骨|繁  哈立德 上個 禮拜 手臂 骨折 。<br /><br />hālìdé shàngge· lǐbài shǒubì gǔzhé.<br /><br />Khalid broke his arm last week.
申|所有 想要申請 這份 工作的 人 ， 必須 在 週 五前 完成 。<br /><br />suǒyǒu xiǎngyàoshēnqǐng zhèfèn gōngzuòde· rén, bìxū zài zhōuwǔqián wánchéng.<br /><br />Anyone who wants to apply for the job must do so by Friday.
私|他 很自私 ， 他 不在乎 別人 。<br /><br />tā hěnzìsī, tā búzàihū biérén.<br /><br />He's so selfish that he doesn't care about anybody else.
舞|他 跳舞 。<br /><br />tā tiàowǔ.<br /><br />He dances.
迎|足球 在 世界上 大部分的 國家 受歡迎 。<br /><br />zúqiú zài shìjièshàng dàbùfen·de· guójiā shòuhuānyíng.<br /><br />Football is played in most countries of the world.
秀|秀樹 什麼時候 去 上班 ？— 他 已經 去 上班 了 。<br /><br />xiùshù shémeshíhòu qù shàngbān? — tā yǐjīng qù shàngbān le·.<br /><br />When is Hideki going to work? — He's already gone to work.
搞|你 好好 保留 這些 文件 。 不可以搞丟 。<br /><br />nǐ hǎohǎo bǎoliú zhèxiē wénjiàn. bùkěyǐgǎodiū.<br /><br />Keep these papers in a safe place. You must not lose them.
丁|馬丁 很認真 工作 ， 但 我 沒有 。<br /><br />mǎdīng hěnrènzhēn gōngzuò, dàn wǒ méiyǒu.<br /><br />Martin works hard, but I don't.
吸|他們 到 馬路上 ， 然後 傑克 給 他們 教訓 。 傑克 一個接一個 打倒 他們 ， 這樣的 情景 吸 引了 很多 人 圍觀 。<br /><br />tāmen dào mǎlùshàng, ránhòu jiékè gěi tāmen jiàoxùn. jiékè yīge·jiēyīge· dǎdǎo tāmen, zhèyàngde· qíngjǐng xīyǐnle· hěnduō rén wéiguān.<br /><br />They took it out into the street, and Jack let them have it. Jack put them down one by one, and the spectacle really drew a crowd.
遍|干特 最喜歡的 電影 是 星際大戰 。 他 看了 二十 遍 ， 但 我 還沒看過 。<br /><br />gàntè zuìxǐhuānde· diànyǐng shì xīngjìdàzhàn. tā kànle· èrshí biàn, dàn wǒ háiméikànguò.<br /><br />Gunter's favorite movie is Star Wars. He's seen it twenty (20) times, but I've never seen it.
牆|本來 有 一個 時鐘 掛在 窗戶 旁邊的 牆上 。<br /><br />běnlái yǒu yīge· shízhōng guàzài chuānghù pángbiānde· qiángshàng.<br /><br />There was a clock on the wall near the window.
朱|朱利斯 是個 可以信賴的 人 。<br /><br />zhūlìsī shìge· kěyǐxìnlàide· rén.<br /><br />Julius is someone you can rely on.
聖|她 三天前 在 聖地牙哥 。<br /><br />tā sāntiānqián zài shèngdìyágē.<br /><br />Three days ago she was in Santiago.
避|他 試著 在逃避 我的 問題 。<br /><br />tā shìzhe· zàitáobì wǒde· wèntí.<br /><br />He tried to avoid answering my question.
忌|不要羨慕 或 忌妒 學校裡 那個 受歡迎的 女生 。<br /><br />búyàoxiànmù huò jìdù xuéxiàolǐ nàge· shòuhuānyíngde· nǚshēng.<br /><br />Don't be jealous or envious of that popular girl in school.
桌|桌子上 有 一本 書 。<br /><br />zhuōzǐshàng yǒu yìběn shū.<br /><br />There's a book on the table.
執|皮埃特羅 跟 他的 鄰居 發生 爭執。<br /><br />píāitèluó gēn tāde· línjū fāshēng zhēngzhí.<br /><br />Pietro had an argument with a neighbor of his.
悲|我 不喜歡 以 悲劇 為 結局 的 故事 。<br /><br />wǒ bùxǐhuān yǐ bēijù wéi jiéjú de· gùshì.<br /><br />I don't like stories that have unhappy endings.
弄|我 弄丟 我的 錢包 了 。 我的 錢包 不見了 。<br /><br />wǒ nòngdiū wǒde· qiánbāo le·. wǒde· qiánbāo bújiànle·.<br /><br />I lost my wallet. > I've lost my wallet.
橋|橋 正在 興建中 。<br /><br />qiáo zhèngzài xīngjiànzhōng.<br /><br />A bridge is being built. > A bridge is getting built.
輩|拉克希米 一輩子都 住在 印度 。<br /><br />lākèxīmǐ yíbèizǐdōu zhùzài yìndù.<br /><br />Lakshmi has lived her whole life in India.
勁|強勁的 產品需求 讓 這家 公司 成長得 很快速 。<br /><br />qiángjìnde· chǎnpǐnxūqiú ràng zhèjiā gōngsī chéngzhǎngdé hěnkuàisù.<br /><br />The company grew quickly due to a strong demand FOR its products.
鬧|我們的 公寓 在 一條 很熱鬧的 街上 ， 我 以 為 我們 能習慣 ， 但 現在 一切都 很煩 。<br /><br />wǒmende· gōngyù zài yìtiáo hěnrènàode· jiēshàng, wǒ yǐwèi wǒmen néngxíguàn, dàn xiànzài yíqièdōu hěnfán.<br /><br />Our new apartment is on a very busy street. I expect we'll get used to the noise, but for now it's very annoying.
恐|你 必須要走了 嗎 ？— 恐怕 是 。<br /><br />nǐ bìxūyàozǒule· mā? — kǒngpà shì.<br /><br />Do you have to leave already? — I'm afraid so.
付|我們 還沒付 電費 。> 我們 沒付 電費 。<br /><br />wǒmen háiméifù diànfèi. > wǒmen méifù diànfèi.<br /><br />We haven't paid the electric bill yet. > We didn't pay the electric bill.
監|在 工廠 做 監督 工作 的 人 叫做 「工廠督 察」。<br /><br />zài gōngchǎng zuò jiāndū gōngzuò de· rén jiàozuò 「gōngchǎngdūchá」.<br /><br />Someone whose job is to inspect factories is a factory inspector.
廳|這兩間 餐廳 我們都 可以去 。 我 都 可以 。<br /><br />zhèliǎngjiān cāntīng wǒmendōu kěyǐqù. wǒ dōu kěyǐ.<br /><br />We can go to either restaurant. I don't care.
庫|這 房子 不錯 ， 但 沒有 車庫 。<br /><br />zhè fángzǐ búcuò, dàn méiyǒu chēkù.<br /><br />It's a nice house, but it doesn't have a garage. > It hasn't got a garage.
震|大家 對於 二零零一年 九月 十一號的 新聞 感 到 很震驚 。<br /><br />dàjiā duìyú èrlínglíngyìnián jiǔyuè shíyīhàode· xīnwén gǎndào hěnzhènjīng.<br /><br />Everybody was shocked by the news on September eleventh (11th), two thousand one (2001).
冰|冰箱 沒有 正常 運作 ， 因為 你 沒有 把 線 給 接好。<br /><br />bīngxiāng méiyǒu zhèngcháng yùnzuò, yīnwèi nǐ méiyǒu bǎ xiàn gěi jiēhǎo.<br /><br />The fridge isn't working because you haven't plugged it in properly.
醒|怕 他 忘記 要開會 ， 我 會提醒 他 。<br /><br />pà tā wàngjì yàokāihuì, wǒ huìtíxǐng tā.<br /><br />I'll remind him of the meeting in case he's forgotten.
慶|我們 辦了 一個 派對 要慶祝 我的 妹妹 錄取 法學院 。<br /><br />wǒmen bànle· yīge· pàiduì yàoqìngzhù wǒde· mèimei· lùqǔ fǎxuéyuàn.<br /><br />We held a party to congratulate my sister on being admitted to law school.
綠|繁  在 紅綠燈 那裡 。<br /><br />zài hónglǜdēng nàlǐ.<br /><br />At the stoplight.
腿|繁  你 摔斷過 腿 嗎 ？— 有 ，一次。<br /><br />nǐ shuāiduànguò tuǐ mā? — yǒu, yícì.<br /><br />Have you ever broken your leg? — Yes, once.
述|我 來 跟 你 描述 這 是 怎麼 發生的 。<br /><br />wǒ lái gēn nǐ miáoshù zhè shì zěnme fāshēngde·.<br /><br />Let me describe to you how it happened.
硬|你 應該 隨時 備份 你的 電腦檔案 ， 以防 硬 碟 壞掉 。<br /><br />nǐ yīnggāi suíshí bèifèn nǐde· diànnǎodàngàn, yǐfáng yìngdié huàidiào.<br /><br />You should always back up your computer files just in case the hard drive dies.
額|我 連 信用卡帳單的 最低應繳金額 都 繳不出來 。<br /><br />wǒ lián xìnyòngkǎzhàngdānde· zuìdīyìngjiǎojīné dōu jiǎobùchūlái.<br /><br />I couldn't pay the minimum amount on my credit card bill.
誤|誤解 是 我的 錯 。 我 道歉 。<br /><br />wùjiě shì wǒde· cuò. wǒ dàoqiàn.<br /><br />The misunderstanding was my fault, so I apologized.
借|我 幾個 月前 有借 錢 給 你 。— 你 確定 嗎？ 我 不記得 你 有借 我 錢 。<br /><br />wǒ jǐge· yuèqián yǒujiè qián gěi nǐ. — nǐ quèdìng mā? wǒ bújìdé nǐ yǒujiè wǒ qián.<br /><br />I lent you some money a few months ago. — Are you sure? I don't remember you lending me money.
納|伯納德 有 在 派對 ， 不是 嗎 ？— 對 ， 但 我 沒跟 他 說話 。<br /><br />bónàdé yǒu zài pàiduì, búshì mā? — duì, dàn wǒ méigēn tā shuōhuà.<br /><br />Bernard was at the party, wasn't he? — Yes, but I didn't speak to him.
折|繁  哈立德 上個 禮拜 手臂 骨折 。<br /><br />hālìdé shàngge· lǐbài shǒubì gǔzhé.<br /><br />Khalid broke his arm last week.
售|因為 銷售 劇降 ， 公司 這年的 表現 並不好。<br /><br />yīnwèi xiāoshòu jùjiàng, gōngsī zhèniánde· biǎoxiàn bìngbùhǎo.<br /><br />It was a bad year for the company as it faced a huge drop IN sales.
遺|你 遺失過 護照 嗎 ？— 從來 沒有 。<br /><br />nǐ yíshīguò hùzhào mā? — cónglái méiyǒu.<br /><br />Have you ever lost your passport? — No, never.
暴|昨天 有 暴風雨 。 你 有聽到 嗎 ？<br /><br />zuótiān yǒu bàofēngyǔ. nǐ yǒutīngdào mā?<br /><br />There was a storm last night. Did you hear it?
缺|這 公寓 沒有 自己的 停車位 是 一個 缺點 。<br /><br />zhè gōngyù méiyǒu zìjǐde· tíngchēwèi shì yīge· quēdiǎn.<br /><br />It's a shame that the apartment doesn't have its own parking space.
迷|幸運的 是 我們 有 地圖 ， 這樣 我們 就 不會 迷路了 。<br /><br />xìngyùnde· shì wǒmen yǒu dìtú, zhèyàng wǒmen jiù búhuì mílùle·.<br /><br />Fortunately, we had a map that we would have gotten lost without.
魯|繁  你 去過 祕魯 嗎 ？— 有 ， 兩次 。<br /><br />nǐ qùguò mìlǔ mā? — yǒu, liǎngcì.<br /><br />Have you ever been to Peru? — Yes, twice.
探|我 上個 禮拜 必須去 醫院 探視 我 爺爺 。<br /><br />wǒ shàngge· lǐbài bìxūqù yīyuàn tànshì wǒ yéyé.<br /><br />I had to visit my grandfather in the hospital last week.
貨|美金 是 許多 國家 使用的 貨幣 。<br /><br />měijīn shì xǔduō guójiā shǐyòngde· huòbì.<br /><br />The dollar is the currency of many countries.
童|這個 失蹤 兒童 最後 被 看見 在 附近的 河邊 玩 。<br /><br />zhège· shīzōng értóng zuìhòu bèi kànjiàn zài fùjìnde· hébiān wán.<br /><br />The missing children were last seen playing near the river.
凡|喬凡尼 不會 開車 。— 他 不會 嗎 ？ 我 都 不知道 。<br /><br />qiáofánní búhuì kāichē. — tā búhuì mā? wǒ dōu bùzhīdào.<br /><br />Giovanni can't drive. — He can't? I didn't know that.
危|他們的 處境 很危險 。 他們 一定 要小心 。<br /><br />tāmende· chǔjìng hěnwéixiǎn. tāmen yídìng yàoxiǎoxīn.<br /><br />They were in a dangerous situation. They had to be careful.
燒|你 有 聞到 東西 燒焦 嗎 ？<br /><br />nǐ yǒu wéndào dōngxī shāojiāo mā?<br /><br />Can you smell something burning?
搶|警方 始終 沒有 找到 搶案 的 贓款 。<br /><br />jǐngfāng shǐzhōng méiyǒu zhǎodào qiǎngàn de· zāngkuǎn.<br /><br />The police never found the money stolen in the robbery.
控|我 很抱歉 我 太緊張了 。 我 沒辦法 控制 。<br /><br />wǒ hěnbàoqiàn wǒ tàijǐnzhāngle·. wǒ méibànfǎ kòngzhì.<br /><br />I'm sorry I'm so nervous. I can't help it.
戲|我 朋友 寫了 很多 書 。 莎士比亞 寫了 很多 戲劇 和 詩 。<br /><br />wǒ péngyǒu xiěle· hěnduō shū. shāshìbǐyǎ xiěle· hěnduō xìjù hàn shī.<br /><br />My friend has written many books. Shakespeare wrote many plays and poems.
趣|這 很有趣 。 我 一直 笑 。<br /><br />zhè hěnyǒuqù. wǒ yìzhí xiào.<br /><br />It was very funny. I couldn't stop laughing.
束|電影 今天晚上 幾點 結束 ？<br /><br />diànyǐng jīntiānwǎnshàng jǐdiǎn jiéshù?<br /><br />What time does the movie end tonight?
謂|賽維爾 進了 一所 大學 ， 但 只 念了 幾個 學 期後 就 沒念了 。 他 就是 所謂的 大學中輟。<br /><br />sàiwéiěr jìnle· yìsuǒ dàxué, dàn zhǐ niànle· jǐge· xuéqíhòu jiù méiniànle·. tā jiùshì suǒwèide· dàxuézhōngchuò.<br /><br />Xavier went to college but dropped out after a couple semesters. He's what we call a college drop-out.
概|我們 不常 見面 ， 大概 六個 月 才 一次 。<br /><br />wǒmen bùcháng jiànmiàn, dàgài liùge· yuè cái yícì.<br /><br />We don't see each other very often. About every six.
射|防曬霜 可以保護 肌膚 ， 免 受 陽光中的 紫外 線 照射 所產生的 不良影響 。<br /><br />fángshàishuāng kěyǐbǎohù jīfū, miǎn shòu yángguāngzhōngde· zǐwàixiàn zhàoshè suǒchǎnshēngde· bùliángyǐngxiǎng.<br /><br />Sunblock protects the skin from the harmful effects of the sun's ultraviolet (UV) rays.
課|我 今天 上了 五個 小時的 課 。<br /><br />wǒ jīntiān shàngle· wǔge· xiǎoshíde· kè.<br /><br />I was in class for five (5) hours today.
麻|可以 請 你 等一下 嗎 ？ 可以 麻煩 您 等一下 嗎 ？<br /><br />kěyǐ qǐng nǐ děngyíxià mā? kěyǐ máfán nín děngyíxià mā?<br /><br />Can you wait a minute, please? > Could you wait a moment, please?
杯|請 給 我 一杯 柳橙汁 。可以給 我 一杯 柳橙 汁 嗎？<br /><br />qǐng gěi wǒ yìbēi liǔchéngzhī. kěyǐgěi wǒ yìbēi liǔchéngzhī mā?<br /><br />I'd like an orange juice, please. > Can I have an orange juice?
透|買張 樂透 ， 你 可能走運 。<br /><br />mǎizhāng lètòu, nǐ kěnéngzǒuyùn.<br /><br />Buy a lottery ticket. You might be lucky.
郵|郵差 還沒有 來 。<br /><br />yóuchāi háiméiyǒu lái.<br /><br />The postman hasn't come yet.
榮|志榮 不想出去 。<br /><br />zhìróng bùxiǎngchūqù.<br /><br />Zhirong would prefer not to go out.
懂|我 對 經濟 完全 不懂 。<br /><br />wǒ duì jīngjì wánquán bùdǒng.<br /><br />I don't know anything about economics.
擁|公車上 有 很多人 。 比 平常 還 擁擠。<br /><br />gōngchēshàng yǒu hěnduōrén. bǐ píngcháng hái yōngjǐ.<br /><br />There were a lot of people on the bus. It was more crowded than usual.
洗|我 要去 洗手 。<br /><br />wǒ yàoqù xǐshǒu.<br /><br />I'm going to wash my hands.
休|我 想去 找的 那位 女士 正在 休假 。<br /><br />wǒ xiǎngqù zhǎode· nàwèi nǚshì zhèngzài xiūjià.<br /><br />I wanted to see a woman. She was away on vacation.
迫|我們 被 強迫 等了 兩個 小時 。<br /><br />wǒmen bèi qiángpò děngle· liǎngge· xiǎoshí.<br /><br />We were made to wait for two (2) hours.
狗|你 沒有 狗 。<br /><br />nǐ méiyǒu gǒu.<br /><br />You don't have a dog.
偷|我的 手機 前幾天 被 偷了 。<br /><br />wǒde· shǒujī qiánjǐtiān bèi tōule·.<br /><br />My phone was stolen a few days ago.
陰|今天 天氣 不是 很好。 是 陰天 。<br /><br />jīntiān tiānqì búshì hěnhǎo. shì yīntiān.<br /><br />The weather isn't so nice today. It's cloudy.
汽|腳踏車 和 汽車 是 交通工具 。<br /><br />jiǎotàchē hàn qìchē shì jiāotōnggōngjù.<br /><br />The bicycle and the car are means of transportation.
拜|我 下個 禮拜 不用 工作 。<br /><br />wǒ xiàge· lǐbài búyòng gōngzuò.<br /><br />I'm not working next week.
健|健治 回家了 。<br /><br />jiànzhì huíjiāle·.<br /><br />Kenji went home.
簽|申請 簽證時 ， 你 有 遇到 什麼 問題 嗎 ？<br /><br />shēnqǐng qiānzhèngshí, nǐ yǒu yùdào shéme wèntí mā?<br /><br />Did you have any trouble getting a visa?
丹|史丹 幾點 會到 ？— 他 已經 到了 。<br /><br />shǐdān jǐdiǎn huìdào? — tā yǐjīng dàole·.<br /><br />What time is Stan arriving? — He's already arrived.
洛|繁  我 認識 夏洛蒂 。 我 認識 她 很久了 。<br /><br />wǒ rènshì xiàluòdì. wǒ rènshì tā hěnjiǔle·.<br /><br />I know Charlotte. I've known her for a long time.
輪|大部分的 車子 有 四個 輪子 。<br /><br />dàbùfen·de· chēzǐ yǒu sìge· lúnzǐ.<br /><br />Most cars have four (4) wheels.
岸|紀美子 跳進 河裡 ， 游到 對岸。<br /><br />jìměizǐ tiàojìn hélǐ, yóudào duìàn.<br /><br />Kimiko jumped into the river and swam to the other side.
奶|奶油 是 牛奶 做成的 。<br /><br />nǎiyóu shì niúnǎi zuòchéngde·.<br /><br />Butter is made from milk.
訓|駕訓班學員 不可以 自己 開車 上路 。<br /><br />jiàxùnbānxuéyuán bùkěyǐ zìjǐ kāichē shànglù.<br /><br />Student drivers are not allowed to drive by themselves.
釋|「神秘」 就是 無法 被 解釋的 事情。<br /><br />「shénmì」 jiùshì wúfǎ bèi jiěshìde· shìqíng.<br /><br />A mystery is something that cannot be explained.
